dmoj,dgri,dwil,dmel,dpse,dsim,dyak,dana
1,1,1,1,1,2,2,2
2,2,1,1,1,3,1,1
2,2,1,1,2,1,1,1
1,2,1,2,1,2,1,1
1,2,1,2,1,2,1,1
1,2,1,1,3,1,1,1
1,2,2,1,2,1,1,1
1,1,1,5,1,2,1,1
1,1,1,2,1,2,2,1
1,1,1,2,1,2,2,1
1,1,1,2,1,2,2,1
1,1,1,2,1,2,2,1
1,1,1,2,2,1,1,2
1,1,2,1,1,3,2,1
1,1,2,1,1,2,2,1
1,1,2,1,2,1,1,1
1,3,2,1,2,1,1,1
2,1,0,0,2,2,3,1
1,1,1,1,2,2,1,2
2,1,2,0,0,0,2,2
2,1,2,1,1,1,1,1
1,1,1,2,1,1,2,2
1,2,1,1,1,1,1,1
2,2,1,1,1,1,1,2
2,2,2,1,1,1,1,1
1,1,1,2,1,2,2,1
2,2,0,0,2,0,2,2
